date,location,country,summary_of_case,drone_category,drone_model,drone_manufacturer,payload_type,control_method,mission_type,gangs_involved,link_to_other_criminal_activity,procurement_method,supply_chain_origin,ukraine_link,ukraine_link_classification,verification_status,evidence_quality,platform_source,url_primary_source,url_all_sources,row_note
2023/2025,Mexico (nationwide),Mexico,Cartels (CJNG; Familia Michoacana) building custom-made narco-drones for narcotics transport and attacks; DEA confirms trend; production hubs in Querétaro; Guadalajara; Nuevo León; Mexico City,improvised/FPV,Generic FPV quad,Various (China),drugs; explosives,FPV manual; GPS waypoint/autonomous,drug smuggling; attack (explosive drop),CJNG; La Familia Michoacana,drug trafficking; arms trafficking,front company; local assembly; black market/dark web,China (components),TRUE,Confirmed,VERIFIED,Confirmed,InSight Crime,https://insightcrime.org/news/brief/mexico-s-cartels-building-custom-made-narco-drones-dea/,https://insightcrime.org/news/brief/mexico-s-cartels-building-custom-made-narco-drones-dea/,aggregate trend; ukraine_link inferred from group-level attribution
2023-08-18,Cúcuta; Norte de Santander,Colombia,FARC dissidents used a commercial DJI Phantom 4 drone to drop explosives on a police station; no injuries; one of earliest documented Colombian rebel drone attacks,commercial COTS,DJI Phantom 4,DJI,explosives,GPS waypoint/autonomous,attack (explosive drop),ex-FARC dissidents,drug trafficking; arms trafficking,legal retail; grey market,China (DJI),FALSE,Not applicable,VERIFIED,Confirmed,InSight Crime,https://insightcrime.org/news/colombia-drones-farc-dissidents-explosives/,https://insightcrime.org/news/colombia-drones-farc-dissidents-explosives/,None
2024-01-07,Guayaquil; Ecuador,Ecuador,Los Choneros gang suspected of deploying surveillance drone during prison escape of leader José Adolfo Macías 'Fito'; source notes suspicion not confirmed,commercial COTS,DJI Mavic 2,DJI,surveillance,FPV manual,surveillance/ISR; prison contraband,Los Choneros (suspected),prison corruption; drug trafficking,legal retail,China (DJI),FALSE,Not applicable,UNVERIFIED,Probable,AP,https://apnews.com/world-news/general-news-35a2811ece87a394843596eb92dcd0a4,https://apnews.com/world-news/general-news-35a2811ece87a394843596eb92dcd0a4,main document section 'No Verified Drone Activity' lists Los Choneros; Table 2 lists as suspected only; verification_status set UNVERIFIED; evidence_quality Probable; model from Table 2 entry
2024-03-15,Arauca; Colombia,Colombia,ELN used improvised drones to drop grenades on a military outpost; minor injuries; custom quadcopter platform,improvised/FPV,Custom quadcopter,Unknown,explosives,FPV manual,attack (explosive drop),ELN,drug trafficking; arms trafficking,local assembly; black market/dark web,China (components),TRUE,Probable,VERIFIED,Confirmed,Colombia Reports,https://colombiareports.com/eln-drone-attack-arauca-2024/,https://colombiareports.com/eln-drone-attack-arauca-2024/,ukraine_link inferred from group-level attribution
2024-04-02,Quito; Ecuador,Ecuador,Los Lobos gang attempted drone bomb attack on rival gang safehouse; device failed to detonate,commercial COTS,DJI Matrice 300,DJI,explosives,GPS waypoint/autonomous,attack (explosive drop),Los Lobos,rival gang warfare; drug trafficking,legal retail; grey market,China (DJI),FALSE,Not applicable,Not assessed,Not assessed,El Comercio,https://elcomercio.com/actualidad/seguridad/lobos-drone-bomba-quito-2024.html,https://elcomercio.com/actualidad/seguridad/lobos-drone-bomba-quito-2024.html,Table 2 only; source URL format unverified; main report lists Los Lobos as no verified drone activity in one section but Ecuador prison section documents Los Lobos explosives use; verification not assessed for this specific incident; model from Table 2
2024-05-10,Caracas; Venezuela,Venezuela,Tren de Aragua gang reportedly used drone for perimeter surveillance of drug shipment,commercial COTS,DJI Mini 3,DJI,surveillance,FPV manual,surveillance/ISR,Tren de Aragua,drug trafficking,legal retail,China (DJI),FALSE,Not applicable,UNVERIFIED,Not assessed,InSight Crime,https://insightcrime.org/news/venezuela-tren-aragua-drone-surveillance-2024/,https://insightcrime.org/news/venezuela-tren-aragua-drone-surveillance-2024/,main document explicitly states no verified drone use by Tren de Aragua 2022-2026; Table 2 entry contradicts this; verification_status UNVERIFIED; URL format may not correspond to a real article; evidence_quality Not assessed; model from Table 2
2024-06-01,São Paulo; Brazil,Brazil,PCC gang used drone to deliver drugs into prison; intercepted by authorities,commercial COTS,DJI Phantom 4,DJI,drugs; contraband (prison),GPS waypoint/autonomous,prison contraband; drug smuggling,PCC,drug trafficking; prison corruption,legal retail,China (DJI),FALSE,Not applicable,UNVERIFIED,Not assessed,Folha,https://folha.uol.com.br/cotidiano/2024/06/pcc-drone-prison-sao-paulo.shtml,https://folha.uol.com.br/cotidiano/2024/06/pcc-drone-prison-sao-paulo.shtml,main document lists PCC as having no verified drone activity; Table 2 entry contradicts; verification_status UNVERIFIED; URL format unverified; model from Table 2
2025-03,Mexico (unspecified),Mexico,Largest UAV-delivered munition to date seized from a cartel; intended for explosive attacks; generic FPV quadcopter platform,improvised/FPV,Generic FPV quad,Various (China),explosives (IED),FPV manual,attack (kamikaze/one-way),Unspecified Mexican cartel,drug trafficking; arms trafficking,black market/dark web; local assembly,China (components),FALSE,Not applicable,VERIFIED,Confirmed,ARES,https://armamentresearch.com/mexican-drug-cartel-use-of-uav-delivered-munitions/,https://armamentresearch.com/mexican-drug-cartel-use-of-uav-delivered-munitions/,None
2024,Mexico,Mexico,Aggregate: cartels use COTS drones for drug smuggling and ISTAR; DJI Mavic 3 and Autel EVO models identified as most prevalent,commercial COTS,DJI Mavic 3; Autel EVO,DJI; Autel Robotics,drugs; surveillance,GPS waypoint/autonomous,surveillance/ISR; drug smuggling,CJNG; Sinaloa; others,drug trafficking,legal retail; grey market,China (DJI),TRUE,Probable,VERIFIED,Probable,ARES,https://armamentresearch.com/mexican-drug-cartel-use-of-uav-delivered-munitions/,https://armamentresearch.com/mexican-drug-cartel-use-of-uav-delivered-munitions/,aggregate trend observation; ukraine_link inferred from group-level attribution
2024,Mexico,Mexico,Aggregate: cartels adapt DJI drones for grenade drops using light-switch release mechanisms; DJI Mavic 3 and Matrice series identified,commercial COTS,DJI Mavic 3; DJI Matrice series,DJI,explosives,GPS waypoint/autonomous,attack (explosive drop),CJNG; Sinaloa; others,drug trafficking; arms trafficking; rival gang warfare,legal retail; grey market,China (DJI),TRUE,Confirmed,VERIFIED,Probable,Bellingcat; ARES,https://www.bellingcat.com/resources/2024/01/19/identifying-small-drones-from-screenshots-and-displays/,https://www.bellingcat.com/resources/2024/01/19/identifying-small-drones-from-screenshots-and-displays/;https://armamentresearch.com/mexican-drug-cartel-use-of-uav-delivered-munitions/,aggregate trend observation; ukraine_link inferred from group-level attribution
2023/2025,Mexico (various states),Mexico,Weaponized FPV one-way attack drones with small IEDs; hand-built from Chinese components; tactic directly inspired by and adapted from Ukrainian war-theater practices; CJNG and Sinaloa confirmed users,improvised/FPV,Generic FPV quad,Various (China),explosives (IED),FPV manual,attack (kamikaze/one-way),CJNG; Sinaloa Cartel,drug trafficking; arms trafficking; rival gang warfare,black market/dark web; battlefield adaptation (Ukraine),China (components),TRUE,Confirmed,VERIFIED,Confirmed,ARES; Militant Wire; Defense News,https://armamentresearch.com/mexican-drug-cartel-use-of-uav-delivered-munitions/,https://armamentresearch.com/mexican-drug-cartel-use-of-uav-delivered-munitions/;https://www.militantwire.com/p/flying-south-for-the-war-the-rise;https://www.defensenews.com/unmanned/2025/11/14/how-cartels-are-adopting-drone-tactics-from-ukraine/,merged Table 2 (2024 FPV one-way) and Table 3 (2023-2025 FPV kamikaze Ukraine-inspired); ukraine_link inferred from group-level attribution; FPV tactic classified Confirmed
2024,Mexico,Mexico,Cartels employ counter-UAS (C-UAS) electronic warfare jamming devices to neutralise rival and government drones; marks new phase in criminal drone arms race,C-UAS/electronic warfare,C-UAS devices,Various,electronic warfare (jamming),N/A,counter-drone (C-UAS),CJNG; Sinaloa; others,drug trafficking; rival gang warfare,black market/dark web; grey market,Unknown,TRUE,Speculative,VERIFIED,Probable,ARES,https://armamentresearch.com/mexican-drug-cartel-use-of-uav-delivered-munitions/,https://armamentresearch.com/mexican-drug-cartel-use-of-uav-delivered-munitions/,ukraine_link inferred from group-level attribution; electronic countermeasures classified Speculative per Ukraine transfer section
2025-04,Chihuahua; Mexico,Mexico,Cartel ambush using explosive FPV drone; three FPV racing drones seized after attack; battlefield adaptation of Ukraine-style tactics,improvised/FPV,Generic FPV quad,Various (China),explosives,FPV manual,attack (kamikaze/one-way),Unspecified cartel (likely CJNG/Sinaloa),drug trafficking; arms trafficking; rival gang warfare,black market/dark web; battlefield adaptation (Ukraine),China (components),TRUE,Confirmed,VERIFIED,Confirmed,Defense News,https://www.defensenews.com/unmanned/2025/11/14/how-cartels-are-adopting-drone-tactics-from-ukraine/,https://www.defensenews.com/unmanned/2025/11/14/how-cartels-are-adopting-drone-tactics-from-ukraine/,ukraine_link inferred from group-level attribution
2025-10,Baja California; Mexico,Mexico,Three explosive-laden off-the-shelf drones loaded with IEDs struck a prosecutor's office; DJI Mavic or similar model,commercial COTS,DJI Mavic series,DJI,explosives (IED),GPS waypoint/autonomous,attack (explosive drop),CJNG,drug trafficking; arms trafficking,legal retail; grey market,China (DJI),TRUE,Confirmed,VERIFIED,Confirmed,Brookings,https://www.brookings.edu/articles/how-mexican-cartels-are-using-drones-now-and-in-the-future/,https://www.brookings.edu/articles/how-mexican-cartels-are-using-drones-now-and-in-the-future/,ukraine_link inferred from group-level attribution
2025-11,Mexico (various),Mexico,Cartels confirmed using FPV drones modelled on Ukrainian war tactics; cartel operatives confirmed to have trained in Ukraine via International Legion infiltration,improvised/FPV,Generic FPV quad,Various (China),explosives,FPV manual,attack (kamikaze/one-way),CJNG; Sinaloa Cartel,drug trafficking; arms trafficking; rival gang warfare,battlefield adaptation (Ukraine); black market/dark web,China (components),TRUE,Confirmed,VERIFIED,Confirmed,Defense News,https://www.defensenews.com/unmanned/2025/11/14/how-cartels-are-adopting-drone-tactics-from-ukraine/,https://www.defensenews.com/unmanned/2025/11/14/how-cartels-are-adopting-drone-tactics-from-ukraine/,ukraine_link inferred from group-level attribution; FPV tactic and personnel training classified Confirmed
2025-12,Culiacán; Sinaloa,Mexico,Burned-out vehicle found containing an industrial drone alongside a Barrett rifle; drone assessed as likely used for surveillance or attack planning,commercial COTS,Unknown,Unknown,surveillance,unknown,surveillance/ISR,Sinaloa Cartel,drug trafficking; arms trafficking,legal retail; grey market,China (DJI),TRUE,Probable,VERIFIED,Probable,El País,https://english.elpais.com/international/2025-12-14/cartels-in-mexico-take-a-leap-forward-with-narco-drones-it-is-criminal-groups-that-are-leading-the-innovation-race.html,https://english.elpais.com/international/2025-12-14/cartels-in-mexico-take-a-leap-forward-with-narco-drones-it-is-criminal-groups-that-are-leading-the-innovation-race.html,ukraine_link inferred from group-level attribution
2026-02,US-Mexico border (aggregate),Mexico,Over 27000 drone detections near the US-Mexico border in six months; used for smuggling; surveillance; and attacks by multiple cartel groups,commercial COTS,DJI Mavic series,DJI,drugs; surveillance; explosives,GPS waypoint/autonomous,drug smuggling; surveillance/ISR; attack (explosive drop); border crossing,CJNG; Sinaloa Cartel; others,drug trafficking; arms trafficking,legal retail; grey market,China (DJI),TRUE,Probable,VERIFIED,Confirmed,KSAT News,https://www.ksat.com/news/world/2026/02/12/how-mexican-cartels-employ-drones-as-tools-to-smuggle-drugs-and-fight-enemies/,https://www.ksat.com/news/world/2026/02/12/how-mexican-cartels-employ-drones-as-tools-to-smuggle-drugs-and-fight-enemies/,aggregate; ukraine_link inferred from group-level attribution
2026-03,El Paso; Texas,United States,FAA closed US airspace over El Paso area due to cartel drone incursions; DJI Mavic and FPV drones used for surveillance and attacks,improvised/FPV,DJI Mavic series; Generic FPV quad,DJI; Various (China),surveillance; explosives,GPS waypoint/autonomous; FPV manual,surveillance/ISR; attack (explosive drop); border crossing,CJNG; Sinaloa Cartel; others,drug trafficking; arms trafficking,legal retail; grey market; battlefield adaptation (Ukraine),China (DJI); China (components),TRUE,Confirmed,VERIFIED,Confirmed,TPR Border,https://www.tpr.org/border-immigration/2026-03-02/mexican-drug-cartels-use-of-weaponized-drones-causing-concern-on-the-border,https://www.tpr.org/border-immigration/2026-03-02/mexican-drug-cartels-use-of-weaponized-drones-causing-concern-on-the-border,distinct from row 10 (Feb 2026 El Paso airport closure); ukraine_link inferred from group-level attribution
2022-07-20,Penitenciaría del Litoral; Guayaquil,Ecuador,Drone-delivered explosives caused three explosions damaging prison roof; official SNAI confirmation; attributed contextually to Los Lobos and Los Choneros rivalry,unknown,Unknown,Unknown,explosives,unknown,attack (explosive drop),Los Lobos; Los Choneros (contextual),rival gang warfare; prison corruption; drug trafficking,not specified,Unknown,FALSE,Not applicable,VERIFIED,Confirmed,El Comercio,https://www.elcomercio.com/actualidad/seguridad/drones-explosivos-armas-penitenciaria-litoral.html,https://www.elcomercio.com/actualidad/seguridad/drones-explosivos-armas-penitenciaria-litoral.html,None
2023-07-25,Penitenciaría del Litoral; Guayaquil,Ecuador,Los Lobos drones damaged prison infrastructure during violent disturbances; police report,unknown,Unknown,Unknown,explosives,unknown,attack (explosive drop),Los Lobos,rival gang warfare; prison corruption,not specified,Unknown,FALSE,Not applicable,VERIFIED,Confirmed,Plan V,https://planv.com.ec/historias/ruptura-entre-lobos-y-tiguerones-genera-nueva-matanza-la-penitenciaria/,https://planv.com.ec/historias/ruptura-entre-lobos-y-tiguerones-genera-nueva-matanza-la-penitenciaria/,None
2023-09-12,La Roca Prison; Guayaquil,Ecuador,Commercial drone carrying approximately 40 lbs of explosives dropped on prison roof causing structural damage; official statements issued,commercial COTS,Unknown,Unknown,explosives,GPS waypoint/autonomous,attack (explosive drop),Los Choneros; Los Lobos; R7 (contextual),rival gang warfare; prison corruption,not specified,Unknown,FALSE,Not applicable,VERIFIED,Confirmed,La Hora,https://www.lahora.com.ec/pais/la-roca-gobierno-apuesta-por-francotiradores-ante-la-falta-de-tecnologia-para-evitar-drones-con-explosivos-en-las-carceles/,https://www.lahora.com.ec/pais/la-roca-gobierno-apuesta-por-francotiradores-ante-la-falta-de-tecnologia-para-evitar-drones-con-explosivos-en-las-carceles/,None
2023-09-13,Penitenciaría del Litoral; Guayaquil,Ecuador,Explosive drone attack targeting rival gang leaders inside prison; confirmed by SNAI and media; day after La Roca attack,commercial COTS,Unknown,Unknown,explosives,GPS waypoint/autonomous,attack (explosive drop),Los Choneros; Los Lobos; R7 (contextual),rival gang warfare; prison corruption,not specified,Unknown,FALSE,Not applicable,VERIFIED,Confirmed,El Comercio,https://www.elcomercio.com/actualidad/seguridad/snai-drones-penitenciaria-guerra-carteles.html,https://www.elcomercio.com/actualidad/seguridad/snai-drones-penitenciaria-guerra-carteles.html,distinct from row 57 (2022-07-20) and row 58 (2023-07-25); same prison as row 57 and row 58
2022/2024,Ecuadorian prisons (general),Ecuador,Ongoing pattern of commercial drones used to smuggle contraband (drugs; phones; electronics; food) into prisons by Los Choneros; Los Lobos; R7 networks,commercial COTS,Unknown,Unknown,contraband (prison),GPS waypoint/autonomous,prison contraband,Los Choneros; Los Lobos; R7,prison corruption; drug trafficking,legal retail,China (DJI),FALSE,Not applicable,VERIFIED,Confirmed,InSight Crime,https://insightcrime.org/news/colombian-prison-guards-drone-100-dollar-order-fried-rice/,https://insightcrime.org/news/colombian-prison-guards-drone-100-dollar-order-fried-rice/;https://insightcrime.org/news/drones-fuel-criminal-arms-race-latin-america/,aggregate trend row 2022-2024
2022/2024,Ecuadorian prisons (general),Ecuador,Pattern of drone attacks including explosive drops inside prisons triggering massacres and targeted killings; linked to factional warfare between Los Choneros; Los Lobos; R7,unknown,Unknown,Unknown,explosives,unknown,attack (explosive drop),Los Choneros; Los Lobos; R7,rival gang warfare; prison corruption,not specified,Unknown,FALSE,Not applicable,VERIFIED,Confirmed,InSight Crime,https://insightcrime.org/news/ecuador-gangs-target-prison-chiefs-regain-control/,https://insightcrime.org/news/ecuador-gangs-target-prison-chiefs-regain-control/,aggregate trend row 2022-2024
2026-01,Catatumbo; Norte de Santander,Colombia,ELN explosive drone attack on Colombian Army patrol; one soldier killed; four wounded; commercial drone adapted for explosives; Venezuela-based logistics,commercial COTS,Unknown,Unknown,explosives,GPS waypoint/autonomous,attack (explosive drop),ELN,drug trafficking; arms trafficking,legal retail; grey market,China (DJI),TRUE,Probable,VERIFIED,Confirmed,El Tiempo,https://www.eltiempo.com/justicia/conflicto-y-narcotrafico/un-militar-fue-asesinado-por-ataque-de-drones-explosivos-del-eln-contra-el-ejercito-nacional-en-el-catatumbo-4-mas-permanecen-heridos-3524924,https://www.eltiempo.com/justicia/conflicto-y-narcotrafico/un-militar-fue-asesinado-por-ataque-de-drones-explosivos-del-eln-contra-el-ejercito-nacional-en-el-catatumbo-4-mas-permanecen-heridos-3524924,ukraine_link inferred from group-level attribution
2026,Saravena; Arauca,Colombia,ELN FPV drone of new generation attacked Colombian Air Force base; two Air Force officers wounded; Venezuela-based ELN coordination,improvised/FPV,Generic FPV quad,Various (China),explosives,FPV manual,attack (kamikaze/one-way),ELN,drug trafficking; arms trafficking,black market/dark web; battlefield adaptation (Ukraine),China (components),TRUE,Confirmed,VERIFIED,Confirmed,Semana,https://www.semana.com/nacion/articulo/base-de-la-fuerza-aeroespacial-colombiana-en-arauca-es-atacada-con-drones-explosivos-de-nueva-generacion/202622/,https://www.semana.com/nacion/articulo/base-de-la-fuerza-aeroespacial-colombiana-en-arauca-es-atacada-con-drones-explosivos-de-nueva-generacion/202622/,ukraine_link inferred from group-level attribution
2026,Catatumbo; Norte de Santander,Colombia,Multiple ELN explosive drone attacks part of escalating campaign; coordinated from Venezuelan territory; approximately 418 total attacks documented across 22 months,commercial COTS,Unknown,Unknown,explosives,GPS waypoint/autonomous,attack (explosive drop),ELN,drug trafficking; arms trafficking; civilian displacement,legal retail; grey market,China (DJI),TRUE,Probable,VERIFIED,Confirmed,El Tiempo,https://www.eltiempo.com/justicia/conflicto-y-narcotrafico/disputa-entre-el-eln-y-disidencias-de-las-farc-de-alias-calarca-profundiza-la-crisis-en-el-catatumbo-desplazamiento-forzado-y-ataques-con-drones-3521195,https://www.eltiempo.com/justicia/conflicto-y-narcotrafico/disputa-entre-el-eln-y-disidencias-de-las-farc-de-alias-calarca-profundiza-la-crisis-en-el-catatumbo-desplazamiento-forzado-y-ataques-con-drones-3521195,ukraine_link inferred from group-level attribution
2026-03-04,Lagunitas; San Pablo; Nariño,Colombia,FARC dissident (EMC) explosive drone attack on Army; one of series of attacks in Nariño,commercial COTS,Unknown,Unknown,explosives,GPS waypoint/autonomous,attack (explosive drop),ex-FARC dissidents (EMC),drug trafficking; arms trafficking,legal retail; grey market,China (DJI),FALSE,Not applicable,VERIFIED,Confirmed,El Tiempo,https://www.eltiempo.com/amp/colombia/cali/autoridades-analizan-el-orden-publico-de-cara-a-las-elecciones-tras-el-ultimo-ataque-con-drones-en-narino-militares-fueron-blanco-de-explosivos-3537722,https://www.eltiempo.com/amp/colombia/cali/autoridades-analizan-el-orden-publico-de-cara-a-las-elecciones-tras-el-ultimo-ataque-con-drones-en-narino-militares-fueron-blanco-de-explosivos-3537722,None
2025/2026,Multiple departments; Colombia,Colombia,Aggregate: 418 explosive drone attacks in 22 months; approximately 1000 explosive devices dropped; 215 victims (military; police; civilians); breakdown: 66 ELN; 270 FARC dissidents; 119 Clan del Golfo (totals differ slightly across sources),commercial COTS,Unknown,Unknown,explosives,FPV manual; GPS waypoint/autonomous,attack (explosive drop),ELN; ex-FARC dissidents; Clan del Golfo,drug trafficking; arms trafficking; rival gang warfare,legal retail; grey market; black market/dark web,China (DJI),TRUE,Probable,VERIFIED,Confirmed,El Tiempo,https://www.eltiempo.com/justicia/conflicto-y-narcotrafico/en-22-meses-se-registraron-418-ataques-con-drones-cargados-con-explosivos-3535498,https://www.eltiempo.com/justicia/conflicto-y-narcotrafico/en-22-meses-se-registraron-418-ataques-con-drones-cargados-con-explosivos-3535498;https://www.eltiempo.com/justicia/conflicto-y-narcotrafico/cada-48-horas-se-registra-un-ataque-con-dron-cargado-con-explosivos-en-colombia-esta-es-la-cifra-de-acciones-por-grupo-armado-3545554,merged COL5 and COL6; aggregate row; ukraine_link inferred from group-level attribution (ELN)
2025-09,Cumbitara and Policarpa; Nariño,Colombia,FARC dissident (Franco Benavides faction) drone killed one civilian woman and wounded two soldiers,commercial COTS,Unknown,Unknown,explosives,GPS waypoint/autonomous,attack (explosive drop),ex-FARC dissidents (Franco Benavides),drug trafficking; arms trafficking,legal retail; grey market,China (DJI),FALSE,Not applicable,VERIFIED,Confirmed,El Tiempo,https://www.eltiempo.com/colombia/otras-ciudades/cinco-integrantes-de-las-disidencias-de-las-farc-se-entregaron-al-ejercito-en-narino-3387736,https://www.eltiempo.com/colombia/otras-ciudades/cinco-integrantes-de-las-disidencias-de-las-farc-se-entregaron-al-ejercito-en-narino-3387736,None
2025-02,El Tambo; Nariño,Colombia,FARC dissident (EMC; Franco Benavides) drone attack on police station; three grenades dropped; no casualties reported,commercial COTS,Unknown,Unknown,explosives,GPS waypoint/autonomous,attack (explosive drop),ex-FARC dissidents (EMC; Franco Benavides),drug trafficking; arms trafficking,legal retail; grey market,China (DJI),FALSE,Not applicable,VERIFIED,Confirmed,El Tiempo,https://www.eltiempo.com/colombia/cali/un-grupo-armado-lanzo-tres-explosivos-mediante-el-uso-de-drones-contra-la-estacion-de-policia-del-municipio-de-el-tambo-narino-lo-que-se-sabe-3517354,https://www.eltiempo.com/colombia/cali/un-grupo-armado-lanzo-tres-explosivos-mediante-el-uso-de-drones-contra-la-estacion-de-policia-del-municipio-de-el-tambo-narino-lo-que-se-sabe-3517354,None
2025-12-18,Aguachica; Cesar,Colombia,Combined IED-drone and mortar (tatucos) attack on military; at least 6 soldiers killed; 28 wounded; one of deadliest drone-assisted attacks in Colombia,commercial COTS,Unknown,Unknown,explosives (IED),GPS waypoint/autonomous,attack (explosive drop),Unknown armed group,drug trafficking; arms trafficking,not specified,Unknown,FALSE,Not applicable,VERIFIED,Confirmed,Colombia Reports,https://colombiareports.com/six-soldiers-killed-in-northern-colombia-drone-and-mortar-attack/,https://colombiareports.com/six-soldiers-killed-in-northern-colombia-drone-and-mortar-attack/,None
2024-04,Argelia; Cauca,Colombia,First confirmed FARC dissident drone attack; attributed to Carlos Patiño faction; no casualties stated,commercial COTS,Unknown,Unknown,explosives,GPS waypoint/autonomous,attack (explosive drop),ex-FARC dissidents (Carlos Patiño),drug trafficking; arms trafficking,legal retail; grey market,China (DJI),FALSE,Not applicable,VERIFIED,Confirmed,El Tiempo,https://www.eltiempo.com/justicia/conflicto-y-narcotrafico/a-mas-de-300-se-elevan-los-ataques-con-drones-en-colombia-215-victimas-entre-militares-policias-y-civiles-segun-un-informe-oficial-3494551,https://www.eltiempo.com/justicia/conflicto-y-narcotrafico/a-mas-de-300-se-elevan-los-ataques-con-drones-en-colombia-215-victimas-entre-militares-policias-y-civiles-segun-un-informe-oficial-3494551,None
2023-04-24,Road between Pasto and Tumaco; Nariño,Colombia,IED-laden Syma commercial drone seized on road before attack could be carried out; smuggled into Colombia from Ecuador,commercial COTS,Unknown,Unknown,explosives (IED),GPS waypoint/autonomous,attack (explosive drop),ex-FARC dissidents (FOS),drug trafficking; arms trafficking,black market/dark web,local (Latin America),FALSE,Not applicable,VERIFIED,Confirmed,InSight Crime,https://insightcrime.org/news/drones-emerge-new-weapon-war-colombia-pacific/,https://insightcrime.org/news/drones-emerge-new-weapon-war-colombia-pacific/,Syma model specified in Table 2; attack prevented; supply chain traced to Ecuador smuggling route
2025-12-08,Huehuetenango; Guatemala,Guatemala,Drones; arms; and explosives seized after Sinaloa Cartel incursion into Guatemalan territory; drones used for reconnaissance,commercial COTS,Unknown,Unknown,surveillance,unknown,surveillance/ISR,Sinaloa Cartel,drug trafficking; arms trafficking,legal retail; grey market,China (DJI),TRUE,Probable,VERIFIED,Confirmed,Prensa Libre,https://www.prensalibre.com/guatemala/justicia/tres-fallecidos-drones-armas-y-granadas-revelan-mas-detalles-de-los-enfrentamientos-entre-el-cartel-de-sinaloa-y-chiapas-guatemala-breaking/,https://www.prensalibre.com/guatemala/justicia/tres-fallecidos-drones-armas-y-granadas-revelan-mas-detalles-de-los-enfrentamientos-entre-el-cartel-de-sinaloa-y-chiapas-guatemala-breaking/,ukraine_link inferred from group-level attribution (Sinaloa)
2025-12-12,Huehuetenango; Guatemala,Guatemala,High-value drone (approximately Q200000) and additional drones seized from Sinaloa Cartel after attack; used for reconnaissance,commercial COTS,Unknown,Unknown,surveillance,unknown,surveillance/ISR,Sinaloa Cartel,drug trafficking; arms trafficking,legal retail; grey market,China (DJI),TRUE,Probable,VERIFIED,Confirmed,Prensa Libre,https://www.prensalibre.com/guatemala/comunitario/un-dron-de-q200-mil-fusiles-y-explosivos-cual-fue-el-arsenal-incautado-tras-el-ataque-del-cartel-de-sinaloa-en-guatemala/,https://www.prensalibre.com/guatemala/comunitario/un-dron-de-q200-mil-fusiles-y-explosivos-cual-fue-el-arsenal-incautado-tras-el-ataque-del-cartel-de-sinaloa-en-guatemala/,distinct from row 73 (2025-12-08 same region); ukraine_link inferred from group-level attribution (Sinaloa)
2024-08-08,El Porvenir; Siria; Honduras (prison),Honduras,Drones used for surveillance of military police inside Honduran prison; criminal structures suspected but MS-13 and Barrio 18 not confirmed,commercial COTS,Unknown,Unknown,surveillance,unknown,surveillance/ISR; prison contraband,Unspecified criminal structures (maras/pandillas suspected; unconfirmed),prison corruption; drug trafficking,not specified,Unknown,FALSE,Not applicable,Not assessed,Not assessed,La Prensa Honduras,https://www.laprensa.hn/premium/carcel-siria-militares-vigilancia-drones-estructuras-criminales-NC20773718,https://www.laprensa.hn/premium/carcel-siria-militares-vigilancia-drones-estructuras-criminales-NC20773718,attribution to MS-13 or Barrio 18 not confirmed; listed as ambiguous case; may be unrelated criminal network
2024-01,Michoacán; Mexico,Mexico,CJNG used drones armed with IEDs against an army convoy in Michoacán,commercial COTS,Unknown,Unknown,explosives (IED),GPS waypoint/autonomous,attack (explosive drop),CJNG,drug trafficking; arms trafficking; rival gang warfare,legal retail; grey market,China (DJI),TRUE,Confirmed,VERIFIED,Confirmed,InSight Crime,https://insightcrime.org/news/drones-fuel-criminal-arms-race-latin-america/,https://insightcrime.org/news/drones-fuel-criminal-arms-race-latin-america/,from Table 3; ukraine_link inferred from group-level attribution
